Sl_No,Slide_No,District,Location,Latitude,Longitude,Material_Involved,Movement,History,Elevation_m,Slope_deg,Rainfall_2023_mm,Rainfall_Dates_2023
5267,HP/SHI/53E15/2016/120,Shimla,Munish - Jogni road,31.4063,77.7574,Debris          Slide,,,1892.406005859375,36.946555093945136,,
5268,HP/SHI/53E15/2016/58,Shimla,Pat - Punar track,31.4063,77.8021,Debris          Slide,,,2275.54833984375,22.777631497718,,
5269,HP/BIL/53A11/2018/27,Bilaspur,Amarpur,31.406413,76.695828,Debris          Slide,,,633.98193359375,21.512860394932,,
5270,HP/BIL/53A07/2018/2,Bilaspur,Nangal-Naina Devi road,31.406455,76.405643,Rock            Slide,,,431.8790893554687,28.13197396947171,,
5271,HP/SHI/53E11/2016/100,Shimla,"Nogli, NH-05",31.406472,77.630167,Debris            Slide,,,893.5,40.53798177660807,,
5272,HP/SHI/53E15/2016/17,Shimla,Punar - Pat foot track,31.4068,77.7776,Rock              Slide,,,2234.2451171875,22.39286953496303,,
5273,HP/SHI/53E11/2016/6,Shimla,"Nogli, NH05",31.406806,77.63,Debris,Slide,1999,909.7374267578124,48.76742782949563,,
5274,HP/BIL/53A07/2018/4,Bilaspur,Nangal-Naina Devi road,31.406964,76.423814,Debris            Slide,,,421.4861145019531,29.859725440112975,,
5275,HP/SHI/53E15/2016/91,Shimla,Near Thala,31.407,77.7567,Debris            Slide,,,1955.9085693359375,27.736690811566593,,
5276,HP/SHI/53E15/2016/3,Shimla,Pat village Punar - Pat foot track,31.4071,77.8122,Rock              Flow,,,2184.61181640625,25.142005516155898,,
5277,HP/SHI/53E15/2016/12,Shimla,Punar - Jogni road,31.4077,77.7667,Rock              Slide,,,2135.461181640625,49.647945831914306,,
5278,HP/SHI/53E15/2016/123,Shimla,Jogni - Munish road,31.4083,77.7602,Debris            Slide,,,1992.593994140625,38.68143915635621,,
5279,HP/SHI/53E15/2016/53,Shimla,Pat - Punar track,31.4086,77.8032,Debris            Slide,,,2356.19580078125,25.437123486663868,,
5280,HP/BIL/53A11/2018/25,Bilaspur,Sunani,31.408903,76.677604,Soil              Slide,,,606.6182861328125,26.87561495713172,,
5281,HP/BIL/53A15/2015/283,Bilaspur,,31.408917,76.774944,Rock,Slide,2015,566.153076171875,16.57310821453824,,
5282,HP/BIL/53A15/2015/284,Bilaspur,,31.408942,76.771808,Rock,Slide,2015,557.8028564453125,24.6109835032328,,
5283,HP/SHI/53E15/2016/118,Shimla,Near Munish - Jogni road,31.4091,77.7618,Rock              Slide,,,2047.966796875,43.118740128959175,,
5284,HP/SHI/53E11/2016/13,Shimla,"Shatal, MDR-28",31.409111,77.626,Rock              Slide,,,935.6965942382812,38.612456280244686,,
5285,HP/BIL/53A11/2018/6,Bilaspur,Berthin-Suhani-Bhager road,31.40912,76.67253,Debris            Slide,,,570.0969848632812,35.27394390197772,,
