Sl_No,Slide_No,District,Location,Latitude,Longitude,Material_Involved,Movement,History
8060,HP/CHA/43P14/2017/39,Chamba,,32.583723,75.971117,Debris          Slide,NA,
8061,HP/CHA/43P14/2017/46,Chamba,,32.587751,75.969603,Debris          Slide,NA,
8062,HP/CHA/52D02/2020/26,Chamba,Jabkun,32.59,76.12,Rock            Slide,NA,
8063,HP/CHA/52D02/2020/41,Chamba,"Drada P.F.,NH 154A",32.59,76.09,Rock            Slide,NA,
8064,HP/CHA/52D02/2020/48,Chamba,Dula P.F,32.59,76.09,Rock            Slide,NA,
8065,HP/CHA/52D02/2020/49,Chamba,Chima P.F,32.59,76.09,Debris          Slide,NA,
8066,HP/CHA/52D02/2020/65,Chamba,Chulla,32.59,76.23,Debris          Slide,NA,
8067,HP/CHA/52D02/2020/84,Chamba,Siyundi,32.59,76.18,Debris          Slide,NA,
8068,HP/CHA/52D02/2020/87,Chamba,Aiasa,32.59,76.21,Debris          Slide,NA,
8069,HP/CHA/52D02/2020/88,Chamba,South of Saho,32.59,76.23,Debris          Slide,NA,
8070,HP/CHA/52D02/2020/94,Chamba,Binnu,32.59,76.24,Debris          Slide,NA,
8071,HP/CHA/52D02/2020/95,Chamba,Kothi,32.59,76.24,Debris          Slide,NA,
8072,HP/CHA/52D02/2020/105,Chamba,Baraur,32.59,76.16,Debris          Slide,NA,
8073,HP/CHA/43P14/2017/19,Chamba,,32.595971,75.945754,Debris          Slide,NA,
8074,HP/CHA/43P14/2017/50,Chamba,,32.596153,75.937565,Debris          Slide,NA,
8075,HP/CHA/43P14/2017/21,Chamba,,32.596404,75.944525,Debris          Slide,NA,
8076,HP/CHA/52D02/2020/25,Chamba,Dharmar P.F,32.6,76.05,Rock            Slide,NA,
8077,HP/CHA/52D02/2020/34,Chamba,"Khabbar,NH-154A",32.6,76.04,Rock            Slide,NA,
8078,HP/CHA/52D02/2020/40,Chamba,Ugran,32.6,76.12,Rock            Slide,NA,
8079,HP/CHA/52D02/2020/64,Chamba,Gunun P.F,32.6,76.04,Rock            Slide,NA,
8080,HP/CHA/52D02/2020/85,Chamba,Sangera,32.6,76.21,Debris          Slide,NA,
8081,HP/CHA/52D02/2020/86,Chamba,Sangera,32.6,76.21,Debris          Slide,NA,
8082,HP/CHA/52D02/2020/93,Chamba,Dhangraon,32.6,76.24,Rock            Slide,NA,
8083,HP/CHA/52D02/2020/97,Chamba,Dhangraon,32.6,76.24,Debris          Slide,NA,
8084,HP/CHA/52D02/2020/107,Chamba,Gunun P.F,32.6,76.04,Rock,Slide,1995
8085,HP/CHA/43P14/2017/15,Chamba,,32.601693,75.956609,Debris          Slide,NA,
8086,HP/CHA/52D02/2020/1,Chamba,Sal,32.61,76.05,Rock            Slide,NA,
8087,HP/CHA/52D02/2020/35,Chamba,Chamri,32.61,76.04,Rock            Slide,NA,
8088,HP/CHA/52D02/2020/46,Chamba,"Cha,mri",32.61,76.03,Rock            Slide,NA,
