State,District,Latitude,Longitude,slope_deg,rainfall_mm,soil_moisture_mm,label
Assam,Kamrup (Metro),26.1895,91.78716667,4.88,18.51393443,0.474284495,1
Assam,Dima Hasao,25.40586111,93.11097222,4.26,15.08196721,0.493179303,1
Assam,Dima Hasao,25.39155556,93.11316667,0.05,15.08196721,0.493179303,1
Assam,West Karbi Anglong,25.96664,92.51636,8.93,15,0.493295082,1
Assam,West Karbi Anglong,25.967,92.51617,7.37,15,0.493295082,1
Assam,West Karbi Anglong,25.96458,92.52081,3.44,15,0.493295082,1
Assam,West Karbi Anglong,25.96886,92.51572,9.13,15,0.493295082,1
Assam,West Karbi Anglong,25.97461,92.51375,5.69,15,0.493295082,1
Assam,West Karbi Anglong,25.97664,92.51283,5.08,15,0.493295082,1
Assam,West Karbi Anglong,25.98214,92.51139,4.67,14.09262295,0.492463798,1
Assam,West Karbi Anglong,25.91608,92.50203,4.26,15.54262295,0.49228347,1
Assam,West Karbi Anglong,25.92153,92.50753,1.9,15.54262295,0.49228347,1
Assam,Dima Hasao,25.205528,93.020139,11.38,10.10081967,0.476209699,1
Assam,Dima Hasao,25.206,93.126,14.46,8.267213115,0.478105533,1
Assam,Dima Hasao,25.207389,93.122778,7.02,10.10081967,0.477033128,1
Assam,Dima Hasao,25.208,93.121,7.62,10.04508197,0.478105533,1
Assam,Dima Hasao,25.214944,93.021611,2.62,10.10081967,0.476209699,1
Assam,Dima Hasao,25.216944,93.011361,6.05,10.10081967,0.476209699,1
Assam,Dima Hasao,25.2185,93.013111,4.11,10.10081967,0.476209699,1
Assam,Dima Hasao,25.189556,93.096417,0.72,10.10081967,0.477033128,1
Assam,Dima Hasao,25.193083,93.120417,3.44,10.10081967,0.477033128,1
Assam,Dima Hasao,25.196694,93.018583,0.87,10.10081967,0.476209699,1
Assam,Dima Hasao,25.199722,93.016722,6.81,10.10081967,0.476209699,1
Assam,Dima Hasao,25.224278,93.222861,3.65,8.236885246,0.478339481,1
Assam,Dima Hasao,25.242,93.14,5.24,8.267213115,0.478105533,1
Assam,West Karbi Anglong,25.92525,92.51031,1.18,15.54262295,0.49228347,1
Assam,West Karbi Anglong,25.91936,92.50556,3.03,15.54262295,0.49228347,1
Assam,West Karbi Anglong,25.92103,92.50708,0.72,15.54262295,0.49228347,1
Assam,West Karbi Anglong,25.92233,92.50819,0.31,15.54262295,0.49228347,1
Assam,West Karbi Anglong,25.924,92.50939,0.21,15.54262295,0.49228347,1
Assam,West Karbi Anglong,25.95825,92.51414,0.1,15,0.493295082,1
Assam,West Karbi Anglong,25.96403,92.51631,8.63,15,0.493295082,1
Assam,Dima Hasao,25.17638889,93.11613889,0.51,10.10081967,0.477033128,1
Assam,Dima Hasao,25.1775,93.02622222,7.37,10.10081967,0.476209699,1
Assam,Dima Hasao,25.17691667,93.02655556,4.83,10.10081967,0.476209699,1
Assam,Dima Hasao,25.17702778,93.02088889,3.55,10.10081967,0.476209699,1
Assam,Dima Hasao,25.19308333,93.12041667,3.44,10.10081967,0.477033128,1
Assam,Dima Hasao,25.13447222,93.01897222,9.99,10.10081967,0.443344604,1
Assam,Kamrup (Metro),26.18841667,91.85125,5.29,14.92868852,0.496072746,1
Assam,Kamrup (Metro),26.19244444,91.76422222,2.62,18.51393443,0.474284495,1
Assam,Kamrup (Metro),26.19236111,91.78080556,2.47,11.11721311,0.485831284,1
Assam,Kamrup (Metro),26.15805556,91.71258333,7.02,11.47131148,0.486188525,1
